,index,Acceleration_X,Acceleration_Y,Acceleration_Z,magnitude
0,2021-09-02 13:23:52.005,1011.0,38.0,6.0,1011.7316837976362
1,2021-09-02 13:23:52.022,1016.0,40.0,14.0,1016.883474150308
2,2021-09-02 13:23:52.025,1018.0,39.0,10.0,1018.795857863586
3,2021-09-02 13:23:52.034,1016.0,45.0,9.0,1017.0358892389196
4,2021-09-02 13:23:52.044,1016.0,42.0,9.0,1016.9075670875893
5,2021-09-02 13:23:52.055,1011.0,49.0,11.0,1012.2465114783058
6,2021-09-02 13:23:52.063,1011.0,41.0,9.0,1011.87103921399
7,2021-09-02 13:23:52.073,1009.0,41.0,11.0,1009.8925685438031
8,2021-09-02 13:23:52.083,1011.0,40.0,10.0,1011.8404024350876
9,2021-09-02 13:23:52.092,1018.0,40.0,10.0,1018.8346283867662
10,2021-09-02 13:23:52.093,1018.0,42.0,1.0,1018.8665270780074
11,2021-09-02 13:23:52.103,1006.0,41.0,11.0,1006.8952279159932
12,2021-09-02 13:23:52.113,1015.0,40.0,10.0,1015.8370932388716
13,2021-09-02 13:23:52.131,1014.0,43.0,11.0,1014.9709355444618
14,2021-09-02 13:23:52.134,1015.0,44.0,11.0,1016.0127951950211
15,2021-09-02 13:23:52.135,1015.0,44.0,12.0,1016.0241138870672
16,2021-09-02 13:23:52.142,1010.0,45.0,11.0,1011.0618180902688
17,2021-09-02 13:23:52.152,1013.0,31.0,13.0,1013.5575957980878
18,2021-09-02 13:23:52.161,1015.0,49.0,7.0,1016.2061798670583
19,2021-09-02 13:23:52.171,1010.0,40.0,14.0,1010.8887179111259
20,2021-09-02 13:23:52.181,1014.0,42.0,2.0,1014.8714204272381
21,2021-09-02 13:23:52.196,1014.0,43.0,2.0,1014.9132967894351
22,2021-09-02 13:23:52.197,1014.0,43.0,9.0,1014.9512303554294
23,2021-09-02 13:23:52.201,1003.0,43.0,9.0,1003.961652654124
24,2021-09-02 13:23:52.202,1003.0,42.0,4.0,1003.8869458260726
25,2021-09-02 13:23:52.210,1015.0,40.0,3.0,1015.7923016050082
26,2021-09-02 13:23:52.221,1009.0,40.0,3.0,1009.7970093043452
27,2021-09-02 13:23:52.222,1009.0,42.0,11.0,1009.9336611877039
28,2021-09-02 13:23:52.230,1008.0,40.0,2.0,1008.7953211628214
29,2021-09-02 13:23:52.239,1008.0,40.0,2.0,1008.7953211628214
30,2021-09-02 13:23:52.240,1008.0,37.0,5.0,1008.6912312496822
31,2021-09-02 13:23:52.250,1011.0,41.0,6.0,1011.8488029345095
32,2021-09-02 13:23:52.259,1012.0,31.0,5.0,1012.487036954054
33,2021-09-02 13:23:52.269,1009.0,40.0,6.0,1009.8103782393999
34,2021-09-02 13:23:52.278,1010.0,40.0,6.0,1010.8095765276465
35,2021-09-02 13:23:52.279,1010.0,44.0,6.0,1010.9757662773129
36,2021-09-02 13:23:52.292,1010.0,38.0,6.0,1010.7324077123479
37,2021-09-02 13:23:52.298,1007.0,39.0,8.0,1007.7866837778718
38,2021-09-02 13:23:52.308,1016.0,32.0,8.0,1016.5352920582737
39,2021-09-02 13:23:52.309,1016.0,32.0,5.0,1016.5161090705843
40,2021-09-02 13:23:52.318,1014.0,42.0,4.0,1014.8773324890058
41,2021-09-02 13:23:52.327,1014.0,42.0,8.0,1014.9009803916833
42,2021-09-02 13:23:52.337,1004.0,50.0,5.0,1005.256683638562
43,2021-09-02 13:23:52.347,1011.0,39.0,5.0,1011.7643006155139
44,2021-09-02 13:23:52.357,1014.0,40.0,9.0,1014.8285569493992
45,2021-09-02 13:23:52.366,1012.0,47.0,10.0,1013.1401679925636
46,2021-09-02 13:23:52.377,1009.0,41.0,12.0,1009.903955829464
47,2021-09-02 13:23:52.385,1016.0,41.0,12.0,1016.8977333045835
48,2021-09-02 13:23:52.386,1016.0,40.0,9.0,1016.8269272595018
49,2021-09-02 13:23:52.395,1012.0,41.0,11.0,1012.8899249178066
50,2021-09-02 13:23:52.406,1012.0,41.0,12.0,1012.9012785064496
51,2021-09-02 13:23:52.415,1014.0,44.0,6.0,1014.971920793871
52,2021-09-02 13:23:52.425,1010.0,44.0,6.0,1010.9757662773129
53,2021-09-02 13:23:52.426,1010.0,42.0,10.0,1010.9223511229733
54,2021-09-02 13:23:52.435,1014.0,41.0,4.0,1014.8364400237114
55,2021-09-02 13:23:52.444,1007.0,38.0,10.0,1007.7663419662317
56,2021-09-02 13:23:52.455,1015.0,40.0,8.0,1015.8193737077473
57,2021-09-02 13:23:52.464,1003.0,40.0,8.0,1003.8291687334056
58,2021-09-02 13:23:52.465,1003.0,38.0,4.0,1003.7275526755255
59,2021-09-02 13:23:52.473,1015.0,41.0,4.0,1015.8356166230834
60,2021-09-02 13:23:52.474,1015.0,41.0,12.0,1015.8986169889198
61,2021-09-02 13:23:52.483,1010.0,41.0,12.0,1010.9030616236158
62,2021-09-02 13:23:52.484,1010.0,41.0,8.0,1010.863492267873
63,2021-09-02 13:23:52.493,1012.0,46.0,5.0,1013.0572540582294
64,2021-09-02 13:23:52.503,1008.0,44.0,6.0,1008.977700447339
65,2021-09-02 13:23:52.514,1008.0,40.0,3.0,1008.7977993631825
66,2021-09-02 13:23:52.522,1013.0,40.0,4.0,1013.7973170215041
67,2021-09-02 13:23:52.532,1010.0,40.0,4.0,1010.7996834190244
68,2021-09-02 13:23:52.533,1010.0,40.0,8.0,1010.8234267170503
69,2021-09-02 13:23:52.542,1002.0,43.0,10.0,1002.9720833602498
70,2021-09-02 13:23:52.551,1006.0,44.0,10.0,1007.0114199948281
71,2021-09-02 13:23:52.552,1006.0,44.0,4.0,1006.9697115603825
72,2021-09-02 13:23:52.562,1013.0,38.0,10.0,1013.7618063430876
73,2021-09-02 13:23:52.571,1009.0,37.0,8.0,1009.7098593160314
74,2021-09-02 13:23:52.582,1009.0,43.0,12.0,1009.9871286308554
75,2021-09-02 13:23:52.591,1005.0,41.0,5.0,1005.8483981197166
76,2021-09-02 13:23:52.600,1015.0,43.0,5.0,1015.9227332824087
77,2021-09-02 13:23:52.601,1015.0,43.0,10.0,1015.9596448678461
78,2021-09-02 13:23:52.611,1016.0,33.0,6.0,1016.5534909683798
79,2021-09-02 13:23:52.620,1011.0,44.0,6.0,1011.9748020578378
80,2021-09-02 13:23:52.621,1011.0,44.0,2.0,1011.9589912639741
81,2021-09-02 13:23:52.630,1014.0,42.0,6.0,1014.8871858487523
82,2021-09-02 13:23:52.640,1010.0,40.0,4.0,1010.7996834190244
83,2021-09-02 13:23:52.649,1012.0,45.0,13.0,1013.0834121630854
84,2021-09-02 13:23:52.659,1009.0,42.0,9.0,1009.9138577126269
85,2021-09-02 13:23:52.673,1010.0,40.0,6.0,1010.8095765276465
86,2021-09-02 13:23:52.689,1016.0,40.0,9.0,1016.8269272595018
87,2021-09-02 13:23:52.698,1016.0,40.0,6.0,1016.8047993592477
88,2021-09-02 13:23:52.708,1010.0,41.0,6.0,1010.8496426274286
89,2021-09-02 13:23:52.719,1012.0,42.0,4.0,1012.8790648443672
90,2021-09-02 13:23:52.727,1015.0,37.0,4.0,1015.6820368599614
91,2021-09-02 13:23:52.728,1015.0,37.0,6.0,1015.6918824131657
92,2021-09-02 13:23:52.737,1004.0,44.0,5.0,1004.9761191192555
93,2021-09-02 13:23:52.747,1017.0,42.0,5.0,1017.8791676815083
94,2021-09-02 13:23:52.748,1017.0,42.0,10.0,1017.9160083228871
95,2021-09-02 13:23:52.757,1008.0,37.0,11.0,1008.7388165427163
96,2021-09-02 13:23:52.768,1016.0,40.0,3.0,1016.7915223879476
97,2021-09-02 13:23:52.776,1014.0,38.0,12.0,1014.7827353675268
98,2021-09-02 13:23:52.786,1013.0,44.0,11.0,1014.0147927915056
99,2021-09-02 13:23:52.796,1008.0,42.0,6.0,1008.8924620592622
100,2021-09-02 13:23:52.806,1016.0,41.0,2.0,1016.8288941606646
101,2021-09-02 13:23:52.817,1013.0,41.0,7.0,1013.8535397186322
102,2021-09-02 13:23:52.825,1012.0,41.0,7.0,1012.8543824262202
103,2021-09-02 13:23:52.826,1012.0,41.0,2.0,1012.8321677356026
104,2021-09-02 13:23:52.835,1012.0,39.0,6.0,1012.7689766180637
105,2021-09-02 13:23:52.845,1009.0,35.0,7.0,1009.631120756487
106,2021-09-02 13:23:52.855,1011.0,44.0,8.0,1011.9886362998351
107,2021-09-02 13:23:52.865,1010.0,40.0,11.0,1010.8516211591095
108,2021-09-02 13:23:52.876,1014.0,36.0,7.0,1014.6629982412879
109,2021-09-02 13:23:52.886,1012.0,38.0,7.0,1012.7373795807084
110,2021-09-02 13:23:52.887,1012.0,38.0,9.0,1012.7531782226112
111,2021-09-02 13:23:52.894,1009.0,44.0,5.0,1009.9712867205681
112,2021-09-02 13:23:52.903,1013.0,39.0,13.0,1013.8338128115475
113,2021-09-02 13:23:52.913,1005.0,42.0,13.0,1005.9612318573713
114,2021-09-02 13:23:52.914,1005.0,42.0,11.0,1005.9373737962021
115,2021-09-02 13:23:52.923,1012.0,42.0,5.0,1012.8835076157574
116,2021-09-02 13:23:52.932,1012.0,38.0,5.0,1012.7255304375416
117,2021-09-02 13:23:52.933,1012.0,38.0,4.0,1012.7210869731113
118,2021-09-02 13:23:52.942,1016.0,40.0,12.0,1016.8579055108929
119,2021-09-02 13:23:52.952,1013.0,40.0,7.0,1013.813592333423
120,2021-09-02 13:23:52.963,1012.0,42.0,6.0,1012.8889376432147
121,2021-09-02 13:23:52.973,1014.0,44.0,9.0,1014.9940886527369
122,2021-09-02 13:23:52.982,1014.0,41.0,7.0,1014.8526986710929
123,2021-09-02 13:23:52.991,1014.0,45.0,7.0,1015.0221672456223
124,2021-09-02 13:23:52.992,1014.0,45.0,6.0,1015.0157634243914
125,2021-09-02 13:23:53.001,1012.0,41.0,9.0,1012.8701792431249
126,2021-09-02 13:23:53.011,1007.0,41.0,11.0,1007.8943397003477
127,2021-09-02 13:23:53.026,1008.0,40.0,7.0,1008.8176247469113
128,2021-09-02 13:23:53.037,1015.0,41.0,12.0,1015.8986169889198
129,2021-09-02 13:23:53.040,1009.0,40.0,5.0,1009.8049316575949
130,2021-09-02 13:23:53.050,1005.0,44.0,8.0,1005.9945327883248
131,2021-09-02 13:23:53.059,1009.0,45.0,8.0,1010.0346528708804
132,2021-09-02 13:23:53.060,1009.0,45.0,3.0,1010.0074257152766
133,2021-09-02 13:23:53.069,1010.0,46.0,9.0,1011.0870387854845
134,2021-09-02 13:23:53.080,1008.0,46.0,11.0,1009.1090129416148
135,2021-09-02 13:23:53.089,1015.0,44.0,8.0,1015.9847439799478
136,2021-09-02 13:23:53.098,1015.0,44.0,8.0,1015.9847439799478
137,2021-09-02 13:23:53.099,1015.0,34.0,11.0,1015.628869223399
138,2021-09-02 13:23:53.108,1015.0,42.0,14.0,1015.9650584542758
139,2021-09-02 13:23:53.119,1015.0,42.0,5.0,1015.8808985309253
140,2021-09-02 13:23:53.140,1017.0,42.0,7.0,1017.890956831821
