,index,Acceleration_X,Acceleration_Y,Acceleration_Z,magnitude
0,2021-09-02 08:19:47.001,1011.0,44.0,14.0,1012.0538523220985
1,2021-09-02 08:19:47.011,1009.0,42.0,6.0,1009.8915783389818
2,2021-09-02 08:19:47.022,1009.0,46.0,9.0,1010.0881149681943
3,2021-09-02 08:19:47.030,1015.0,40.0,10.0,1015.8370932388716
4,2021-09-02 08:19:47.040,1017.0,40.0,9.0,1017.8261148152959
5,2021-09-02 08:19:47.058,1016.0,40.0,9.0,1016.8269272595018
6,2021-09-02 08:19:47.059,1016.0,46.0,10.0,1017.0899665221361
7,2021-09-02 08:19:47.061,1011.0,40.0,4.0,1011.7988930612644
8,2021-09-02 08:19:47.070,1014.0,44.0,7.0,1014.978324891719
9,2021-09-02 08:19:47.098,1011.0,41.0,5.0,1011.8433673252002
10,2021-09-02 08:19:47.099,1008.0,41.0,5.0,1008.8458752455699
11,2021-09-02 08:19:47.100,1008.0,39.0,16.0,1008.8810633568261
12,2021-09-02 08:19:47.102,1011.0,43.0,7.0,1011.9382392221376
13,2021-09-02 08:19:47.108,1012.0,44.0,7.0,1012.9802564709739
14,2021-09-02 08:19:47.109,1012.0,44.0,7.0,1012.9802564709739
15,2021-09-02 08:19:47.123,1008.0,44.0,7.0,1008.9841425909527
16,2021-09-02 08:19:47.124,1008.0,46.0,2.0,1009.0510393434021
17,2021-09-02 08:19:47.131,1010.0,46.0,7.0,1011.0712141090755
18,2021-09-02 08:19:47.138,1014.0,37.0,6.0,1014.6925642774761
19,2021-09-02 08:19:47.148,1016.0,47.0,8.0,1017.1179872561491
20,2021-09-02 08:19:47.157,1003.0,41.0,1.0,1003.8381343623084
21,2021-09-02 08:19:47.186,1011.0,48.0,5.0,1012.1511744793858
22,2021-09-02 08:19:47.192,1008.0,41.0,4.0,1008.8414146931123
23,2021-09-02 08:19:47.198,1006.0,43.0,4.0,1006.9265117177122
24,2021-09-02 08:19:47.206,1008.0,40.0,6.0,1008.8111815399352
25,2021-09-02 08:19:47.216,1006.0,45.0,6.0,1007.0238328857962
26,2021-09-02 08:19:47.226,1020.0,40.0,6.0,1020.8016457666984
27,2021-09-02 08:19:47.235,1012.0,45.0,6.0,1013.0177688471215
28,2021-09-02 08:19:47.236,1012.0,45.0,9.0,1013.0399794677404
29,2021-09-02 08:19:47.246,1010.0,38.0,10.0,1010.7640674262219
30,2021-09-02 08:19:47.255,1007.0,41.0,8.0,1007.866062530136
31,2021-09-02 08:19:47.265,1021.0,40.0,13.0,1021.8659403268122
32,2021-09-02 08:19:47.274,1013.0,41.0,13.0,1013.91271813702
33,2021-09-02 08:19:47.275,1013.0,41.0,8.0,1013.8609372098325
34,2021-09-02 08:19:47.284,1006.0,41.0,8.0,1006.8669226864095
35,2021-09-02 08:19:47.294,1015.0,40.0,10.0,1015.8370932388716
36,2021-09-02 08:19:47.308,1010.0,38.0,4.0,1010.7225138483856
37,2021-09-02 08:19:47.313,1014.0,38.0,4.0,1014.7196657205378
38,2021-09-02 08:19:47.314,1014.0,41.0,7.0,1014.8526986710929
39,2021-09-02 08:19:47.323,1011.0,47.0,5.0,1012.1042436429165
40,2021-09-02 08:19:47.333,1001.0,44.0,10.0,1002.016466930559
41,2021-09-02 08:19:47.343,1014.0,41.0,9.0,1014.8684643834392
42,2021-09-02 08:19:47.353,1006.0,40.0,9.0,1006.835140427667
43,2021-09-02 08:19:47.362,1015.0,43.0,9.0,1015.9502940597044
44,2021-09-02 08:19:47.363,1015.0,43.0,6.0,1015.9281470655294
45,2021-09-02 08:19:47.372,1007.0,43.0,5.0,1007.9300570972174
46,2021-09-02 08:19:47.382,1007.0,40.0,6.0,1007.8119864339777
47,2021-09-02 08:19:47.392,1009.0,41.0,9.0,1009.8727642629045
48,2021-09-02 08:19:47.403,1003.0,45.0,1.0,1004.0094621068071
49,2021-09-02 08:19:47.411,1016.0,41.0,8.0,1016.85839722156
50,2021-09-02 08:19:47.421,1010.0,45.0,4.0,1011.0098911484497
51,2021-09-02 08:19:47.433,1008.0,41.0,3.0,1008.8379453608989
52,2021-09-02 08:19:47.440,1012.0,41.0,3.0,1012.8346360586214
53,2021-09-02 08:19:47.441,1012.0,45.0,9.0,1013.0399794677404
54,2021-09-02 08:19:47.450,1016.0,42.0,8.0,1016.8992083780969
55,2021-09-02 08:19:47.460,1011.0,42.0,1.0,1011.8725216152477
56,2021-09-02 08:19:47.470,1008.0,40.0,2.0,1008.7953211628214
57,2021-09-02 08:19:47.479,1008.0,40.0,2.0,1008.7953211628214
58,2021-09-02 08:19:47.480,1008.0,46.0,7.0,1009.0733372753439
59,2021-09-02 08:19:47.489,1019.0,39.0,8.0,1019.7774266966297
60,2021-09-02 08:19:47.500,1018.0,40.0,6.0,1018.803219468804
61,2021-09-02 08:19:47.517,1016.0,46.0,10.0,1017.0899665221361
62,2021-09-02 08:19:47.519,1016.0,44.0,6.0,1016.9700093906408
63,2021-09-02 08:19:47.529,1013.0,46.0,8.0,1014.0754409806008
64,2021-09-02 08:19:47.539,1011.0,41.0,6.0,1011.8488029345095
65,2021-09-02 08:19:47.548,1006.0,40.0,7.0,1006.8192489220694
66,2021-09-02 08:19:47.558,1011.0,37.0,13.0,1011.760347117834
67,2021-09-02 08:19:47.567,1010.0,38.0,13.0,1010.7981994443797
68,2021-09-02 08:19:47.568,1010.0,38.0,8.0,1010.746258959191
69,2021-09-02 08:19:47.577,1013.0,45.0,10.0,1014.0483223199967
70,2021-09-02 08:19:47.588,1012.0,43.0,10.0,1012.9624869658303
71,2021-09-02 08:19:47.589,1012.0,43.0,9.0,1012.9531084902203
72,2021-09-02 08:19:47.597,1013.0,37.0,8.0,1013.7070582766996
73,2021-09-02 08:19:47.606,1006.0,41.0,8.0,1006.8669226864095
74,2021-09-02 08:19:47.607,1006.0,41.0,5.0,1006.8475554918928
75,2021-09-02 08:19:47.616,1012.0,36.0,2.0,1012.642088795444
76,2021-09-02 08:19:47.626,1013.0,37.0,10.0,1013.7248147303094
